20|The data above compares the number of Government schools and Anganwadis and the gender ratios in this Constituency with that of the neighbouring constituencies. |ಶಾಲೆ ಮತ್ತು  ಅಂಗನವಾಡಿಗಳ ಸಂಖ್ಯೆ  ಮತ್ತು ಲಿಂಗ ಅನುಪಾತದ ಆಧಾರದ ಮೇಲೆ ಈ ಮೇಲ್ಕಂಡ ದತ್ತಾಂಶವನ್ನು  ಕ್ಷೇತ್ರದ ದತ್ತಾಂಶದೊಂದಿಗೆ ಹೋಲಿಸಲಾಗಿದೆ . 
21|<br/><br/>This report will be followed by a financial allocations statement for this constituency and subsequently, learning outcomes based on Akshara Foundation's programmes and assessments in this region.|<br/><br/>ಈ  ವರದಿಯ ನಂತರ, ಬರುವ ಮುಂದಿನ ವರದಿಯು ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ಹಣಕಾಸು ಹಂಚಿಕೆಗೆ ಸಂಬಂಧಿಸಿರುತ್ತದೆ. ತದನಂತರ ಬರುವ ವರದಿಯು , ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದಲ್ಲಿ ಅಕ್ಷರ ಪ್ರತಿಷ್ಠಾನ ಕಾರ್ಯಕ್ರಮಗಳು ಮತ್ತು ಮೌಲ್ಯಮಾಪನದಿಂದ ಕಂಡು ಬರುವ ಕಲಿಕಾ ಪರಿಣಾಮಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ವರದಿಯಾಗಿರುತ್ತದೆ.
22|Anganwadis provide preschool education. |ಆಂಗನವಾಡಿಗಳಲ್ಲಿ ಪೂರ್ವ ಪ್ರಾಥಮಿಕ ವಿದ್ಯಾಭ್ಯಾಸ ನೀಡಲಾಗುತ್ತದ್ದೆ. 
23|| ಇವೆ
ASSAMESE|Assamese|ಅಸ್ಸಾಮೀಸ್ 
BENGALI|Bengali|ಬೆಂಗಾಲಿ
GUJARATI|Gujarati|ಗುಜರಾತಿ
HINDI|Hindi|ಹಿಂದಿ
KANNADA|Kannada|ಕನ್ನಡ
KASHMIRI|Kashmiri|ಕಾಶ್ಮೀರಿ
KONKANI|Konkani|ಕೊಂಕಣಿ
MALAYALAM|Malayalam|ಮಲಯಾಳಂ
MANIPURI|Manipuri|ಮಣಿಪುರಿ
MARATHI|Marathi|ಮರಾಠಿ
NEPALI|Nepali|ನೆಪಾಲಿ
ORIYA|Oriya|ಒಡಿಯ
PUNJABI|Punjabi|ಪಂಜಾಬಿ
TAMIL|Tamil|ತಮಿಳು 
TELUGU|Telugu|ತೆಲುಗು
URDU|Urdu|ಉರ್ದು
OTHERS|Others|ಇತರ
24| Government schools are in our records and | ಸರ್ಕಾರಿ ಶಾಲೆಗಳಲ್ಲಿ 
25| children have been enrolled in them. | ಮಕ್ಕಳು ದಾಖಲಾತಿ ಪಡೆದ್ದಿದಾರೆ . 
26| Anganwadis are in our records and | ಆಂಗನವಾಡಿಗಳಲ್ಲಿ 
27| In case of queries about this report please write to Team@klp.org.in.| ಈ ವರದಿಯನ್ನು  ಕುರಿತು ಪ್ರಶ್ನೆಗಳಿದ್ದಲ್ಲಿ Team@klp.org.in-ಅನ್ನು ಸಂಪರ್ಕಿಸಿ.
28|Source: Information pertaining to MP/MLA Constituencies has been obtained from concerned Block Education Offices.|ಮೂಲ: ವಿಧಾನಸಭಾ ಹಾಗೂ ಲೋಕಸಭಾ ಕ್ಷೇತ್ರಗಳ ವ್ಯಾಪ್ತಿಗೆ ಬರುವ ಶಾಲಾ ಮತ್ತು ಅಂಗನವಾಡಿಗಳ, ಮಾಹಿತಿಯನ್ನು ಆಯಾ ವಲಯ ಶಿಕ್ಷಣಾಧಿಕಾರಿಗಳ ಕಛೇರಿಯಿಂದ ಪಡೆಯಲಾಗಿದೆ.
29|Information is not available.|ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ .
