59|Girls|ಹುಡುಗಿಯರ ಸಂಖ್ಯೆ 
60|Information is not available.|ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ .
61|Source: Information pertaining to MP/MLA Constituencies has been obtained from concerned Block Education Offices.|ಮೂಲ: ವಿಧಾನಸಭಾ ಹಾಗೂ ಲೋಕಸಭಾ ಕ್ಷೇತ್ರಗಳ ವ್ಯಾಪ್ತಿಗೆ ಬರುವ ಶಾಲಾ ಮತ್ತು ಅಂಗನವಾಡಿಗಳ, ಮಾಹಿತಿಯನ್ನು ಆಯಾ ವಲಯ ಶಿಕ್ಷಣಾಧಿಕಾರಿಗಳ ಕಛೇರಿಯಿಂದ ಪಡೆಯಲಾಗಿದೆ.
62|Comparison of Annual School Grant|ವಾರ್ಷಿಕ  ಶಾಲಾ ಅನುದಾನದ ಹೋಲಿಕೆ
63|School Grant (SG) breakdown by Category|ಪ್ರವರ್ಗಾನುವರ ಶಾಲಾ  ಅನುದಾನದ  ವಿವರ
64|School Maintenance Grant (SMG) breakdown|ಶಾಲಾ  ನಿರ್ವಹಣೆ  ಅನುದಾನದ  ವಿವರ
65|Annual School Grant breakdown|ವಾರ್ಷಿಕ  ಶಾಲಾ ಅನುದಾನದ ವಿವರ
66|Allocation Summary|ಅನುದಾನ  ಹಂಚಿಕೆಯ ಸಾರಾಂಶ
67|Allocation Breakdown|ಅನುದಾನ  ಹಂಚಿಕೆಯ ವಿವರ
68|Allocation in Neighbours Constituencies|ನೆರೆಹೊರೆಯ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರಗಳ  ಅನುದಾನ  ಹಂಚಿಕೆಯ ವಿವರ
69|Grant Amount|ಅನುದಾನದ  ಮೊತ್ತ 
70|Number of Classrooms|ಪಾಠದ ಕೊಠಡಿಗಳ ಸಂಖ್ಯೆ 
71|Grant Type|ಅನುದಾನದ  ವರ್ಗ
72|Number of Schools in this analysis|ವರದಿಗೆ ಒಳಪಟ್ಟ ಶಾಲೆಗಳ ಸಂಖ್ಯೆA
73|Community Involvement|ಸಮುದಾಯ   ಭಾಗವಹಿಸುವಿಕೆ
74|Anganwadi Learning Records|ಅಂಗನವಾಡಿಗಳಲ್ಲಿ ಕಲಿಕೆಯ  ದಾಖಲೆಗಳು
75|Toilets|ಶೌಚಾಲಯಗಳು
76|Nutrition|ಪೋಷಣೆ
77|Physical condition|ಕಟ್ಟಡದ ಪರಿಸ್ಥಿತಿ
78|Infrastructure Summary - Anganwadis|ಅಂಗನವಾಡಿಗಳ  ಮೂಲ ಸೌಲಭ್ಯಗಳ ಸಾರಾಂಶ
79|Infrastructure Summary - Government Primary Schools|ಸರ್ಕಾರಿ  ಪ್ರಾಥಮಿಕ  ಶಾಲೆಗಳ  ಮೂಲ ಸೌಲಭ್ಯಗಳ ಸಾರಾಂಶ
81|Note|ಗಮನಿಸಿ 
82|Comparison of Anganwadis|ಅಂಗನವಾಡಿಗಳ  ಹೋಲಿಕೆ
83|Comparison of Government Primary Schools|ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗಳ ಹೋಲಿಕೆ
